1477	3
0.25	0.5	0
1	1	0
0	1	0
1	0	0
0	0	0
0.05	0	0
0.1	0	0
0.15	0	0
0.2	0	0
0.25	0	0
0.3	0	0
0.35	0	0
0.4	0	0
0.45	0	0
0.5	0	0
0.55	0	0
0.6	0	0
0.65	0	0
0.7	0	0
0.75	0	0
0.8	0	0
0.85	0	0
0.9	0	0
0.95	0	0
0	0.95	0
0	0.9	0
0	0.85	0
0	0.8	0
0	0.75	0
0	0.7	0
0	0.65	0
0	0.6	0
0	0.55	0
0	0.5	0
0	0.45	0
0	0.4	0
0	0.35	0
0	0.3	0
0	0.25	0
0	0.2	0
0	0.15	0
0	0.1	0
0	0.05	0
1	0.05	0
1	0.1	0
1	0.15	0
1	0.2	0
1	0.25	0
1	0.3	0
1	0.35	0
1	0.4	0
1	0.45	0
1	0.5	0
1	0.55	0
1	0.6	0
1	0.65	0
1	0.7	0
1	0.75	0
1	0.8	0
1	0.85	0
1	0.9	0
1	0.95	0
0.95	1	0
0.9	1	0
0.85	1	0
0.8	1	0
0.75	1	0
0.7	1	0
0.65	1	0
0.6	1	0
0.55	1	0
0.5	1	0
0.45	1	0
0.4	1	0
0.35	1	0
0.3	1	0
0.25	1	0
0.2	1	0
0.15	1	0
0.1	1	0
0.05	1	0
0.255118	0.550325	0
0.270261	0.598589	0
0.294809	0.642817	0
0.327758	0.681198	0
0.367759	0.712161	0
0.413174	0.734438	0
0.462143	0.747117	0
0.512662	0.749679	0
0.562663	0.742019	0
0.610099	0.724451	0
0.653026	0.697694	0
0.68969	0.662843	0
0.718587	0.621325	0
0.738535	0.574841	0
0.748717	0.525292	0
0.748717	0.474708	0
0.738535	0.425159	0
0.718587	0.378675	0
0.68969	0.337157	0
0.653026	0.302306	0
0.610099	0.275549	0
0.562663	0.257981	0
0.512662	0.250321	0
0.462143	0.252883	0
0.413174	0.265562	0
0.367759	0.287839	0
0.327758	0.318802	0
0.294809	0.357183	0
0.270261	0.401411	0
0.255118	0.449675	0
0.0696276	0.0442353	0
0.174595	0.0423981	0
0.275242	0.0433347	0
0.373951	0.0442915	0
0.474679	0.044614	0
0.575937	0.0462166	0
0.676976	0.0446854	0
0.776496	0.0436729	0
0.874738	0.0450584	0
0.0413096	0.929666	0
0.0432899	0.825688	0
0.0446609	0.724689	0
0.0436217	0.624539	0
0.041743	0.524672	0
0.041865	0.425496	0
0.0436214	0.326453	0
0.0430495	0.226702	0
0.0454889	0.127333	0
0.956833	0.0687355	0
0.957699	0.171287	0
0.954668	0.27095	0
0.955318	0.372386	0
0.951622	0.474412	0
0.954327	0.575921	0
0.956543	0.676408	0
0.957578	0.77515	0
0.955572	0.873286	0
0.93048	0.955671	0
0.825349	0.956131	0
0.724631	0.956466	0
0.624804	0.95501	0
0.524268	0.958036	0
0.423539	0.956114	0
0.32308	0.955841	0
0.224559	0.957902	0
0.130006	0.960404	0
0.0834489	0.953301	0
0.210855	0.529956	0
0.221022	0.589392	0
0.246388	0.6436	0
0.282856	0.690142	0
0.325231	0.729018	0
0.374285	0.760509	0
0.428715	0.780813	0
0.486963	0.789355	0
0.545296	0.786972	0
0.603282	0.773397	0
0.656601	0.747874	0
0.701982	0.71001	0
0.737741	0.665556	0
0.766785	0.615216	0
0.788288	0.559755	0
0.796361	0.499839	0
0.788029	0.439753	0
0.765982	0.384132	0
0.735813	0.33441	0
0.698931	0.290891	0
0.653756	0.25495	0
0.602468	0.228712	0
0.545931	0.210569	0
0.487263	0.20756	0
0.427502	0.217341	0
0.371803	0.236376	0
0.322286	0.268242	0
0.280399	0.308763	0
0.244981	0.356111	0
0.220535	0.410636	0
0.210764	0.469897	0
0.122806	0.0455237	0
0.225307	0.0414403	0
0.324296	0.0449279	0
0.424144	0.0436451	0
0.525226	0.045925	0
0.626778	0.0455672	0
0.727067	0.0439765	0
0.826179	0.0441019	0
0.918607	0.0421387	0
0.0413356	0.876138	0
0.0442105	0.77528	0
0.0448144	0.674406	0
0.0421329	0.574574	0
0.0416804	0.475221	0
0.042979	0.375839	0
0.0431707	0.276727	0
0.0440364	0.176637	0
0.0427718	0.0826053	0
0.957281	0.120353	0
0.955241	0.22074	0
0.955072	0.321651	0
0.953975	0.423516	0
0.951788	0.525147	0
0.956113	0.626436	0
0.956901	0.725904	0
0.957249	0.824597	0
0.957559	0.917532	0
0.877191	0.953636	0
0.774783	0.957383	0
0.674873	0.954916	0
0.574659	0.956738	0
0.473781	0.957466	0
0.373184	0.955583	0
0.2735	0.956686	0
0.17666	0.959221	0
0.848596	0.909948	0
0.298489	0.0911343	0
0.0901337	0.699028	0
0.398255	0.0870646	0
0.201106	0.081394	0
0.499402	0.0910676	0
0.60396	0.0915586	0
0.70513	0.0878445	0
0.802603	0.08649	0
0.906762	0.0935892	0
0.088154	0.801812	0
0.250438	0.0834374	0
0.0829524	0.54876	0
0.085484	0.851919	0
0.0851156	0.598514	0
0.0884713	0.75007	0
0.0827266	0.451029	0
0.0880651	0.352934	0
0.0854854	0.253507	0
0.0894395	0.152923	0
0.919666	0.143896	0
0.169098	0.499801	0
0.548466	0.916118	0
0.908859	0.240551	0
0.911043	0.343807	0
0.90553	0.446597	0
0.905976	0.552556	0
0.912943	0.653537	0
0.914016	0.751667	0
0.913348	0.848971	0
0.448088	0.913058	0
0.151271	0.0873319	0
0.906067	0.903304	0
0.0944912	0.0963661	0
0.598489	0.910931	0
0.749488	0.915303	0
0.498204	0.916936	0
0.649992	0.908516	0
0.345361	0.911034	0
0.246579	0.91428	0
0.153895	0.918862	0
0.447767	0.086813	0
0.0897064	0.648049	0
0.188939	0.642202	0
0.169012	0.567697	0
0.233637	0.695501	0
0.277815	0.742884	0
0.327807	0.779763	0
0.387644	0.815389	0
0.45314	0.82685	0
0.519741	0.833786	0
0.585888	0.822436	0
0.654111	0.8069	0
0.711778	0.762291	0
0.756461	0.71542	0
0.787135	0.662474	0
0.820966	0.60602	0
0.845947	0.536169	0
0.845661	0.46311	0
0.819806	0.392415	0
0.784347	0.335789	0
0.750189	0.285333	0
0.703422	0.239647	0
0.649312	0.2028	0
0.590159	0.179414	0
0.521979	0.152433	0
0.451468	0.171017	0
0.384076	0.178982	0
0.321439	0.211644	0
0.270717	0.254505	0
0.228935	0.303381	0
0.186896	0.358577	0
0.168578	0.431999	0
0.34776	0.0902006	0
0.911614	0.189731	0
0.70072	0.910311	0
0.798884	0.915099	0
0.550554	0.0930072	0
0.654699	0.0905819	0
0.754131	0.0881492	0
0.853296	0.0896776	0
0.0861618	0.203691	0
0.0841795	0.499831	0
0.0796888	0.901409	0
0.0844372	0.401578	0
0.0871943	0.303394	0
0.909482	0.291949	0
0.911375	0.39497	0
0.899766	0.499676	0
0.912154	0.603837	0
0.913117	0.702969	0
0.91619	0.799565	0
0.39676	0.911202	0
0.29526	0.912087	0
0.198772	0.916721	0
0.113864	0.922717	0
0.137572	0.672529	0
0.128541	0.279507	0
0.12682	0.47371	0
0.782171	0.131869	0
0.580062	0.132552	0
0.685265	0.12911	0
0.732822	0.134226	0
0.134268	0.618145	0
0.135663	0.831445	0
0.121028	0.571884	0
0.877803	0.821094	0
0.134418	0.329584	0
0.133021	0.382203	0
0.130222	0.18352	0
0.126916	0.525739	0
0.17003	0.875607	0
0.871241	0.146445	0
0.866087	0.314116	0
0.868862	0.414265	0
0.869822	0.630949	0
0.868734	0.729961	0
0.872178	0.778395	0
0.314619	0.866631	0
0.476053	0.871783	0
0.567849	0.869523	0
0.861024	0.260814	0
0.421229	0.13108	0
0.622715	0.862258	0
0.367763	0.866143	0
0.421673	0.866779	0
0.183083	0.705134	0
0.7305	0.867864	0
0.522199	0.880461	0
